label	text
0	Actually I'm so sure of my manhood that even though I knew that charge would be levelled against me I still posted anyway.   Anyway if you feel that men need to be degraded to make up for past actions to women you have gone from "righteous" to bitter.
1	And that's the rub: it never has (apart from when it has of course, with the various versions that exist). You choose to put faith in the writings of a primitive bronze age society. I prefer to trust a textbook that is regularly updated to reflect our latest findings; our most up to date and accurate knowledge of the world.
1	So why is it a white man can't just think himself black, or vice versa?
1	Given your very poor English (spelling, punctuation and basic sentence structure), I think the assumption that anyone can understand 'exactly what you are saying' is a very poor one.SmileyPS I have highlighted some of the errors in latest attempt.
0	Yes, in my view, it would be morally correct since it has no brain and, in my definition, is not a person with rights. However, if she doesn't want to support the violinist in that future, she has the responsibility to disconnect from (and therefore kill) that brainless body before the brain gets transplanted. Otherwise, if she waits to disconnect until it is too late, she would be guilty of killing the violinist (a person).
0	what the "eff" are you talking about?! wrong thread buddy.
0	What you quoted is what Answers in Genesis said. Please do not be dishonest and tell others that I said this as I did not.
1	Such as what? It is not like putting two electrodes into the Earth and getting a measurement on some sort of gadget. The only way to measure how old something is, is by using a set of arbitrary assumptions. There are few things that you need to take into account, such as the rate of decay, and so on.Creationists know that there is something seriously wrong with the radio-metric dating methods. Explain this then, carbon dating of wood under lava that was erupted from Rangitoto (an island volcano near Auckland, NZ) indicates that the erruption was around 200 years ago (the name is said to mean "Red Sky", suggesting that the Maoris, who have been their for 1000 years at the most, witnessed this event). Yet potassium-argon dating of the lava rock has given ages of up to half a million years old! Now this alone is a big flaw. Any person who uses their logic can tell that the result of the potassium-argon is way out, it should be less than 200 years. The radio-carbon date is only restricted to thousands of years, because even after several hundreds of thousands of years, there will be no more radio-carbon left.The above came from Snelling, A., "Dating Dilemma: Fossil wood in "ancient" sandstone", Creation  21(3):39-41.Creationists don't have (by their own admissions) all of the answers when it comes to radio-metric dating methods, but they can see enough that there is something seriously wrong with the underlying assumptions. Professor Richard Mauger says: "In general, dates in the "correct ball park" are assumed to be correct and are published, but those in disagreement with other data are seldom published nor are discrepencies fuly explained."
1	I know..... I've wondered from time to time exactly what this improbability is. I mean most of us would find the probabilities of dealing a given sequence from a deck of 52 card pretty "improbable". I guess its best to avoid those tricky fact things and stick to words only.
1	http://www.answersingenesis.org/home/Area/isd/jones.aspWhen Judge John Jones of Dover Pa. was considering evidence from persuasive evolutionists concerning what should be taught in schools, could it be that he "hardly knew the field, and didn't have an answer" that would fit the time constraints of his decision making? Did judge John Jones know what was going on in this country 100 years ago? Why can't today's ID opposing evolutionists see the mistake religious people made 100 years ago, and be enlightened enough to be more open minded about trying to suppress ideas? Maybe because human nature doesn't improve over the generations - following the money always comes first.
